obsnme,obsval,weight,obgnme,extra
ucon_usecol:kper:061_name:ef-8_k:11_j:212_k:41,4.0291486,1.0,obgnme,
ucon_usecol:kper:062_name:ef-8_k:11_j:212_k:41,4.142019,1.0,obgnme,
ucon_usecol:kper:063_name:ef-8_k:11_j:212_k:41,4.2544293,1.0,obgnme,
ucon_usecol:kper:064_name:ef-8_k:11_j:212_k:41,4.366342,1.0,obgnme,
ucon_usecol:kper:065_name:ef-8_k:11_j:212_k:41,4.47675,1.0,obgnme,
ucon_usecol:kper:066_name:ef-8_k:11_j:212_k:41,4.584967,1.0,obgnme,
ucon_usecol:kper:067_name:ef-8_k:11_j:212_k:41,4.6906404,1.0,obgnme,
ucon_usecol:kper:068_name:ef-8_k:11_j:212_k:41,4.7933927,1.0,obgnme,
ucon_usecol:kper:069_name:ef-8_k:11_j:212_k:41,4.8925734,1.0,obgnme,
ucon_usecol:kper:070_name:ef-8_k:11_j:212_k:41,4.9879065,1.0,obgnme,
ucon_usecol:kper:071_name:ef-8_k:11_j:212_k:41,5.0786595,1.0,obgnme,
ucon_usecol:kper:072_name:ef-8_k:11_j:212_k:41,5.165421,1.0,obgnme,
ucon_usecol:kper:073_name:ef-8_k:11_j:212_k:41,5.247069,1.0,obgnme,
ucon_usecol:kper:074_name:ef-8_k:11_j:212_k:41,5.3232765,1.0,obgnme,
ucon_usecol:kper:075_name:ef-8_k:11_j:212_k:41,5.392933,1.0,obgnme,
ucon_usecol:kper:076_name:ef-8_k:11_j:212_k:41,5.455651,1.0,obgnme,
ucon_usecol:kper:077_name:ef-8_k:11_j:212_k:41,5.510898,1.0,obgnme,
ucon_usecol:kper:078_name:ef-8_k:11_j:212_k:41,5.5577,1.0,obgnme,
ucon_usecol:kper:079_name:ef-8_k:11_j:212_k:41,5.594262,1.0,obgnme,
ucon_usecol:kper:080_name:ef-8_k:11_j:212_k:41,5.629146,1.0,obgnme,
ucon_usecol:kper:081_name:ef-8_k:11_j:212_k:41,5.665801,1.0,obgnme,
